Episode,Reward,Steps,Epsilon
0,94.0,7,0.995
1,95.0,6,0.99
2,92.0,9,0.985
3,94.0,7,0.98
4,94.0,7,0.975
5,-385.0,300,0.97
6,-73.0,139,0.966
7,-33.0,104,0.961
8,95.0,6,0.956
9,95.0,6,0.951
10,88.0,13,0.946
11,95.0,6,0.942
12,67.0,29,0.937
13,-22.0,98,0.932
14,-108.0,169,0.928
15,91.0,10,0.923
16,-66.0,132,0.918
17,-258.0,289,0.914
18,-375.0,300,0.909
19,95.0,6,0.905
20,-385.0,300,0.9
21,95.0,6,0.896
22,-380.0,300,0.891
23,93.0,8,0.887
24,-268.0,294,0.882
25,-385.0,300,0.878
26,95.0,6,0.873
27,94.0,7,0.869
28,-370.0,300,0.865
29,93.0,8,0.86
30,91.0,10,0.856
31,-380.0,300,0.852
32,89.0,12,0.848
33,-390.0,300,0.843
34,-380.0,300,0.839
35,94.0,7,0.835
36,-380.0,300,0.831
37,-167.0,213,0.827
38,91.0,10,0.822
39,38.0,53,0.818
40,-29.0,105,0.814
41,95.0,6,0.81
42,-104.0,165,0.806
43,69.0,27,0.802
44,94.0,7,0.798
45,-92.0,153,0.794
46,95.0,6,0.79
47,26.0,60,0.786
48,92.0,9,0.782
49,-115.0,166,0.778
50,94.0,7,0.774
51,93.0,8,0.771
52,94.0,7,0.767
53,93.0,8,0.763
54,94.0,7,0.759
55,91.0,10,0.755
56,-77.0,138,0.751
57,67.0,29,0.748
58,90.0,11,0.744
59,87.0,14,0.74
60,91.0,10,0.737
61,91.0,10,0.733
62,92.0,9,0.729
63,-153.0,199,0.726
64,91.0,10,0.722
65,90.0,11,0.718
66,94.0,7,0.715
67,94.0,7,0.711
68,53.0,38,0.708
69,94.0,7,0.704
70,-385.0,300,0.701
71,91.0,10,0.697
72,92.0,9,0.694
73,-385.0,300,0.69
74,90.0,11,0.687
75,90.0,11,0.683
76,90.0,11,0.68
77,43.0,48,0.676
78,-111.0,167,0.673
79,-390.0,300,0.67
80,94.0,7,0.666
81,95.0,6,0.663
82,-375.0,300,0.66
83,-375.0,300,0.656
84,-67.0,138,0.653
85,93.0,8,0.65
86,8.0,78,0.647
87,-380.0,300,0.643
88,-13.0,94,0.64
89,93.0,8,0.637
90,-10.0,91,0.634
91,95.0,6,0.631
92,94.0,7,0.627
93,94.0,7,0.624
94,95.0,6,0.621
95,94.0,7,0.618
96,87.0,14,0.615
97,93.0,8,0.612
98,95.0,6,0.609
99,66.0,30,0.606
100,-380.0,300,0.603
101,6.0,75,0.6
102,-380.0,300,0.597
103,-375.0,300,0.594
104,94.0,7,0.591
105,95.0,6,0.588
106,-370.0,300,0.585
107,75.0,21,0.582
108,-76.0,147,0.579
109,69.0,27,0.576
110,91.0,10,0.573
111,-370.0,300,0.57
112,4.0,77,0.568
113,95.0,6,0.565
114,89.0,12,0.562
115,94.0,7,0.559
116,-375.0,300,0.556
117,-2.0,83,0.554
118,95.0,6,0.551
119,93.0,8,0.548
120,64.0,32,0.545
121,95.0,6,0.543
122,87.0,14,0.54
123,91.0,10,0.537
124,-380.0,300,0.534
125,94.0,7,0.532
126,12.0,74,0.529
127,-80.0,146,0.526
128,93.0,8,0.524
129,66.0,30,0.521
130,94.0,7,0.519
131,95.0,6,0.516
132,94.0,7,0.513
133,89.0,12,0.511
134,-26.0,102,0.508
135,-375.0,300,0.506
136,94.0,7,0.503
137,94.0,7,0.501
138,82.0,19,0.498
139,69.0,27,0.496
140,89.0,12,0.493
141,-18.0,94,0.491
142,95.0,6,0.488
143,-365.0,300,0.486
144,87.0,14,0.483
145,75.0,21,0.481
146,94.0,7,0.479
147,93.0,8,0.476
148,91.0,10,0.474
149,95.0,6,0.471
150,95.0,6,0.469
151,28.0,58,0.467
152,93.0,8,0.464
153,95.0,6,0.462
