Episode,Reward,Epsilon
0,4.0,0.995
1,6.0,0.99
2,5.0,0.985
3,7.0,0.98
4,16.0,0.975
5,4.0,0.97
6,14.0,0.966
7,6.0,0.961
8,8.0,0.956
9,14.0,0.951
10,4.0,0.946
11,4.0,0.942
12,8.0,0.937
13,13.0,0.932
14,10.0,0.928
15,6.0,0.923
16,10.0,0.918
17,6.0,0.914
18,6.0,0.909
19,13.0,0.905
20,5.0,0.9
21,6.0,0.896
22,8.0,0.891
23,3.0,0.887
24,6.0,0.882
25,3.0,0.878
26,10.0,0.873
27,8.0,0.869
28,11.0,0.865
29,1.0,0.86
30,8.0,0.856
31,13.0,0.852
32,10.0,0.848
33,5.0,0.843
34,4.0,0.839
35,6.0,0.835
36,5.0,0.831
37,1.0,0.827
38,13.0,0.822
39,8.0,0.818
40,11.0,0.814
41,6.0,0.81
42,12.0,0.806
43,1.0,0.802
44,9.0,0.798
45,9.0,0.794
46,7.0,0.79
47,21.0,0.786
48,19.0,0.782
49,27.0,0.778
50,15.0,0.774
51,9.0,0.771
52,16.0,0.767
53,5.0,0.763
54,6.0,0.759
55,9.0,0.755
56,9.0,0.751
57,5.0,0.748
58,6.0,0.744
59,12.0,0.74
60,11.0,0.737
61,5.0,0.733
62,10.0,0.729
63,17.0,0.726
64,14.0,0.722
65,17.0,0.718
66,17.0,0.715
67,12.0,0.711
68,16.0,0.708
69,14.0,0.704
70,11.0,0.701
71,18.0,0.697
72,11.0,0.694
73,5.0,0.69
74,16.0,0.687
75,7.0,0.683
76,12.0,0.68
77,16.0,0.676
78,14.0,0.673
79,17.0,0.67
80,3.0,0.666
81,12.0,0.663
82,3.0,0.66
83,9.0,0.656
84,10.0,0.653
85,12.0,0.65
86,12.0,0.647
87,12.0,0.643
88,16.0,0.64
89,21.0,0.637
90,13.0,0.634
91,22.0,0.631
92,11.0,0.627
93,18.0,0.624
94,16.0,0.621
95,14.0,0.618
96,6.0,0.615
97,14.0,0.612
98,20.0,0.609
99,7.0,0.606
100,14.0,0.603
101,6.0,0.6
102,13.0,0.597
103,20.0,0.594
104,10.0,0.591
105,13.0,0.588
106,10.0,0.585
107,18.0,0.582
108,9.0,0.579
109,20.0,0.576
110,15.0,0.573
111,15.0,0.57
112,18.0,0.568
113,19.0,0.565
114,19.0,0.562
115,13.0,0.559
116,15.0,0.556
117,8.0,0.554
118,13.0,0.551
119,16.0,0.548
120,27.0,0.545
121,15.0,0.543
122,6.0,0.54
123,12.0,0.537
124,18.0,0.534
125,11.0,0.532
126,20.0,0.529
127,13.0,0.526
128,11.0,0.524
129,20.0,0.521
130,16.0,0.519
131,11.0,0.516
132,26.0,0.513
133,9.0,0.511
134,13.0,0.508
135,4.0,0.506
136,5.0,0.503
137,8.0,0.501
138,15.0,0.498
139,8.0,0.496
140,16.0,0.493
141,12.0,0.491
142,10.0,0.488
143,19.0,0.486
144,13.0,0.483
145,17.0,0.481
146,14.0,0.479
147,23.0,0.476
148,18.0,0.474
149,16.0,0.471
150,12.0,0.469
151,11.0,0.467
152,4.0,0.464
153,21.0,0.462
154,10.0,0.46
155,7.0,0.458
156,18.0,0.455
157,15.0,0.453
158,21.0,0.451
159,14.0,0.448
160,23.0,0.446
161,16.0,0.444
162,11.0,0.442
163,23.0,0.44
164,13.0,0.437
165,17.0,0.435
166,25.0,0.433
167,20.0,0.431
168,13.0,0.429
169,14.0,0.427
170,8.0,0.424
171,13.0,0.422
172,15.0,0.42
173,14.0,0.418
174,17.0,0.416
175,6.0,0.414
176,10.0,0.412
177,12.0,0.41
178,19.0,0.408
179,18.0,0.406
180,15.0,0.404
181,17.0,0.402
182,13.0,0.4
183,13.0,0.398
184,13.0,0.396
185,29.0,0.394
186,22.0,0.392
187,14.0,0.39
188,19.0,0.388
189,16.0,0.386
190,16.0,0.384
191,18.0,0.382
192,16.0,0.38
193,12.0,0.378
194,15.0,0.376
195,20.0,0.374
196,15.0,0.373
197,15.0,0.371
198,26.0,0.369
199,11.0,0.367
200,21.0,0.365
201,22.0,0.363
202,6.0,0.361
203,12.0,0.36
204,28.0,0.358
205,16.0,0.356
206,12.0,0.354
207,13.0,0.353
208,18.0,0.351
209,22.0,0.349
210,17.0,0.347
211,14.0,0.346
212,18.0,0.344
213,23.0,0.342
214,10.0,0.34
215,19.0,0.339
216,16.0,0.337
217,16.0,0.335
218,2.0,0.334
219,14.0,0.332
220,16.0,0.33
221,21.0,0.329
222,17.0,0.327
223,12.0,0.325
224,19.0,0.324
225,20.0,0.322
226,13.0,0.321
227,12.0,0.319
228,10.0,0.317
229,24.0,0.316
230,15.0,0.314
231,7.0,0.313
232,8.0,0.311
233,15.0,0.309
234,30.0,0.308
235,9.0,0.306
236,16.0,0.305
237,14.0,0.303
238,23.0,0.302
239,20.0,0.3
